Date,Price,Vol.,weekday,mom,mom1,mom2,mom3,ROC_5,ROC_10,ROC_15,ROC_20,EMA_10,EMA_20,EMA_50,EMA_200,DGS10,WTI-oil,FTSE-F,HSI-F,Gold-F,NZD,FCHI,DGS5,Brent,DBAA,NYSE,CTB6M,CTB1Y,XAU,S&P-F,AUD,AMZN,RUSSELL-F,CNY,DTB3,MSFT,Name,DTB4WK,silver-F,CAD,DAX-F,DTB6,DAAA,DJI-F,XAG,HSI,XOM,EUR,WFC,Dollar Index-F,DJI,GE,CTB3M,copper-F,RUT,Dollar Index,JPM,GAS-F,JPY,wheat-F,GBP,GSPC,SSEC,Nikkei-F,CHF,oil,KOSPI-F,AAPL,GDAXI,CAC-F,NASDAQ-F,JNJ,FTSE,TE1,TE2,TE3,TE5,TE6,DE1,DE2,DE4,DE5,DE6
2010-01-19,2320.4,-0.127001992,1,0.012722313,0.011276868,0.027393223,-0.00249231,5.294205733,5.95143512,7.881926848,4.227212088,2239.255413,2225.392051,2259.911557,2349.314499,4.69,-0.021593037,-0.0154,,-0.0101,0.0085,-0.0094,4.72,-0.0483,6.47,-0.0109,5.58,5.49,-0.0113,-0.0003,0.0113,0.0184,-0.0202,,5.35,0.0192,IXIC,5.29,-0.0458,0.0073,-0.0097,5.34,5.46,-0.0026,-0.0492,,-0.0166,0.009,-0.0306,0.0075,-0.0022,-0.0159,5.62,-0.0257,-0.0158,0.0064,-0.0086,-0.0304,0.0033,0.0429,0.0094,0.0001,,-0.0055,0.0035,-0.0217,,0.0148,-0.0091,-0.0095,0.008,-0.0039,-0.0128,-0.6,-0.66,-0.65,0.06,0.05,1.01,1.78,1.13,1.12,1.18
2010-01-20,2291.25,-0.168569875,2,0.011276868,0.027393223,-0.00249231,0.003208197,3.143949113,4.579832125,6.675450563,2.209920106,2221.223282,2215.391214,2257.442641,2349.605097,4.59,-0.009601746,0.0025,0.0281,-0.0067,-0.0044,0.0026,4.6,-0.0007,6.37,-0.0052,5.53,5.46,-0.0087,-0.0028,-0.0013,0.009,-0.0062,,5.32,0.0067,IXIC,5.29,-0.0128,0.0067,0.0055,5.32,5.36,-0.0049,-0.0195,0.0251,-0.0158,-0.0011,-0.0012,-0.0011,-0.0047,-0.0159,5.55,0.008,-0.0051,0,-0.0174,-0.0054,0.0004,-0.0644,0,-0.0027,,0.0042,0.0001,-0.01,,0.003,0.0041,0.0025,0.0005,-0.0072,0.0008,-0.7,-0.73,-0.73,0.03,0.03,1.01,1.78,1.05,1.05,1.08
2010-01-21,2265.7,-0.008053287,3,0.027393223,-0.00249231,0.003208197,-0.007958909,3.978889399,6.599605727,4.054817421,0.97287276,2205.661789,2207.406079,2256.062749,2350.191581,4.59,-0.021565069,0.0024,-0.0148,-0.0065,-0.0079,0.0063,4.62,-0.0121,6.39,0.0054,5.53,5.46,-0.0054,0.0056,-0.0114,0,0.0078,-0.0013,5.32,0.0027,IXIC,5.29,0.0007,-0.0007,0.0061,5.32,5.38,0.003,0.0036,-0.0136,-0.0061,-0.0056,0.0012,-0.0041,0.0034,0.0131,5.56,0.0197,0.0087,-0.0041,0.0124,0.0655,-0.0023,-0.0013,-0.0052,0.0059,0.001,-0.0086,-0.0068,-0.021,,0.0015,0.007,0.0061,0.0082,-0.0015,0.0011,-0.7,-0.73,-0.73,0.03,0.03,1.01,1.8,1.07,1.07,1.1
2010-01-22,2205.29,0.333584262,4,-0.00249231,0.003208197,-0.007958909,0.019463056,2.698209421,2.997029592,0.996551456,-1.638693505,2192.319965,2201.269876,2255.669391,2351.040742,4.61,0.024499617,-0.0055,0.005,-0.0151,0.0036,-0.0003,4.67,0.0276,6.38,0.0009,5.53,5.49,-0.0136,-0.0003,0.0068,0,0.0083,0.0001,5.34,0.0021,IXIC,5.3,-0.0203,-0.0014,-0.0029,5.33,5.38,-0.0025,-0.015,0.0083,0.0326,0.0067,0.0052,0.0041,-0.002,0.0087,5.58,-0.0034,0.0098,0.0041,0.0059,0.0407,0.0039,-0.0161,0.0018,0.0002,0.0016,0.0017,0.0061,0.0364,0.002,-0.0089,-0.0025,-0.0005,0.0016,-0.012,-0.0043,-0.69,-0.73,-0.72,0.04,0.03,1,1.77,1.05,1.04,1.08
2010-01-25,2210.8,-0.112664767,0,0.003208197,-0.007958909,0.019463056,0.014739097,1.823876197,3.98626561,-0.153103392,-0.11927136,2189.437735,2200.846705,2257.725693,2352.505574,4.56,0.019513827,0.0014,-0.0105,-0.0087,0.0037,-0.007,4.62,0.0072,6.33,-0.0136,5.53,5.45,-0.0079,-0.0146,0.0044,-0.0403,-0.0106,-0.0001,5.34,-0.017,IXIC,5.3,-0.0081,0.0045,-0.0093,5.32,5.32,-0.0116,-0.0108,-0.0148,0.0015,0.0019,-0.0219,0.0023,-0.0114,-0.016,5.58,-0.0057,-0.0127,0.0022,-0.0104,0.0064,0.0011,0,0.0043,-0.0147,-0.0043,-0.0114,0.0039,0.0079,-0.0143,-0.0234,-0.0097,-0.0071,-0.0147,-0.0077,0.0002,-0.74,-0.78,-0.76,0.04,0.02,1.01,1.77,1.01,0.99,1.03
2010-01-26,2203.73,-0.073418975,1,-0.007958909,0.019463056,0.014739097,-0.010984709,0.624183812,2.457610176,-1.013345072,-1.438794222,2184.690565,2199.79899,2259.641027,2353.92975,4.55,-0.003555556,-0.0098,-0.0186,-0.0046,-0.0012,-0.0085,4.62,0.0002,6.3,0.0016,5.52,5.45,-0.0048,0.0041,0.0028,0.0167,0.0022,0.0018,5.35,0.0017,IXIC,5.3,-0.0193,-0.0022,-0.011,5.31,5.29,0.0012,-0.0178,-0.0182,0.0112,0.0059,0.008,0.0041,0.0013,0.0042,5.58,-0.007,0.0044,0.0039,0.0049,0.0008,0.0034,0.0164,0.0024,0.004,-0.0054,0.0087,0.0055,-0.0039,0.0008,0.0074,-0.0098,-0.0085,0.0044,-0.0015,-0.0078,-0.75,-0.8,-0.76,0.05,0.01,1.01,1.75,0.99,0.95,1
2010-01-27,2221.41,-0.123348124,2,0.019463056,0.014739097,-0.010984709,-0.008611636,1.392115605,3.423857124,-0.905558703,-0.573354459,2180.459579,2199.3852,2261.92311,2355.439296,4.44,0.004912908,0.0012,0.0241,0.0031,-0.0043,-0.004,4.57,-0.0003,6.17,-0.0021,5.52,5.46,0.0028,-0.0025,-0.0037,-0.0016,-0.002,-0.0012,5.32,-0.0079,IXIC,5.29,0.0066,0,-0.0008,5.32,5.15,-0.0031,0.0064,0.0228,0.0016,0.0005,-0.0258,0.0021,-0.0031,-0.0154,5.56,0,-0.003,0.0021,-0.0096,0.0103,0.0054,0.0065,0.0048,-0.0023,0.0155,-0.0066,0.0029,0.0045,-0.004,0.0049,-0.0009,-0.0042,0.0005,-0.0072,0.0007,-0.85,-0.88,-0.88,0.03,0.03,1.02,1.73,0.85,0.85,0.88
2010-01-28,2179,-0.096606939,3,0.014739097,-0.010984709,-0.008611636,-0.000387967,2.52043116,0.073022536,-2.890987446,-2.647592326,2171.359485,2197.0668,2263.576707,2356.786324,4.49,0.004035874,-0.0081,-0.0146,-0.014,-0.0012,-0.0159,4.61,-0.0025,6.15,-0.0163,5.52,5.46,-0.0052,-0.0169,0.0044,-0.0441,-0.014,0.0027,5.33,-0.0039,IXIC,5.29,-0.0063,0.0017,-0.0131,5.31,5.21,-0.0113,0.006,-0.0129,-0.0141,0.0001,-0.0128,0.0024,-0.0108,-0.0162,5.57,-0.0212,-0.0156,0.0023,-0.0078,-0.045,-0.0051,-0.0221,0.0037,-0.0164,-0.0077,-0.0143,0.0066,-0.0072,-0.0188,-0.0089,-0.0133,-0.0162,-0.0191,-0.0077,-0.0069,-0.8,-0.84,-0.82,0.04,0.02,0.94,1.66,0.84,0.82,0.86
2010-01-29,2147.35,0.453323624,4,-0.010984709,-0.008611636,-0.000387967,0.030807884,0.290969212,-1.656949985,-4.222958658,-5.551621459,2169.661593,2198.968568,2267.028817,2358.573121,4.35,-0.021500658,0.0098,-0.0039,0.0069,0.0015,0.0067,4.52,-0.0086,6.08,-0.0044,5.51,5.47,-0.0007,-0.0096,0.0014,-0.017,-0.0132,-0.0014,5.33,-0.024,IXIC,5.29,0.0162,0.0009,0.0075,5.3,5.07,-0.0025,0.0004,-0.0062,-0.0079,0.0017,-0.0081,-0.0004,-0.0022,-0.0117,5.56,0.0077,-0.009,-0.0004,-0.0042,-0.0404,0.0032,0.0081,0.004,-0.0094,-0.0052,-0.0053,0.001,-0.0101,-0.0004,-0.02,0.0075,0.0076,-0.0145,0.0044,0.0093,-0.94,-0.98,-0.95,0.04,0.01,1.01,1.73,0.78,0.75,0.79
2010-02-01,2171.2,-0.122738067,0,-0.008611636,-0.000387967,0.030807884,-0.007327941,2.123656546,-1.941567797,-1.908341767,-4.804914087,2174.619725,2204.402101,2271.913667,2360.695966,4.37,-0.003389089,0.0011,0.0034,0.0002,-0.0034,0.0008,4.51,-0.001,6.12,-0.0015,5.51,5.45,-0.0011,-0.0026,-0.0026,-0.0168,-0.0045,0.0008,5.31,-0.0012,IXIC,5.29,-0.0018,-0.0027,-0.0039,5.3,5.1,-0.0034,0,0.0037,-0.0026,0.0012,-0.0048,-0.0044,-0.0031,-0.0031,5.54,-0.0085,-0.0042,-0.0004,-0.0013,0.044,0.0018,-0.0123,-0.0007,-0.0022,-0.0003,-0.0002,0.0007,-0.0031,-0.0064,0.0062,-0.004,0.0008,-0.0025,-0.0017,0.0009,-0.92,-0.94,-0.93,0.02,0.01,1.02,1.75,0.82,0.81,0.83
2010-02-02,2190.06,0.064893003,1,-0.000387967,0.030807884,-0.007327941,0.007088262,1.822053402,-1.627371097,-2.050181135,-3.973376361,2175.379664,2207.897059,2276.024429,2362.600448,4.32,0.00704613,-0.0014,-0.0133,0.0037,-0.0028,-0.0139,4.46,0.0053,6.09,-0.0013,5.51,5.44,0.005,0.0022,-0.0008,-0.0029,-0.0079,0.0024,5.31,-0.0035,IXIC,5.29,0.0048,-0.0028,-0.007,5.3,5.08,0.0006,0.0096,-0.0139,0.0081,-0.0033,0.0112,-0.0003,0.0002,0.0094,5.55,-0.0058,-0.0069,-0.0011,0.0021,0.0318,-0.0015,-0.0215,-0.0001,0.0007,0.0026,-0.0074,-0.0006,0.0078,-0.0114,0.0169,-0.0105,-0.0141,-0.0013,0.0063,-0.0076,-0.97,-0.99,-0.98,0.02,0.01,1.01,1.77,0.79,0.78,0.8
2010-02-03,2190.91,-0.168349589,2,0.030807884,-0.007327941,0.007088262,-0.011539517,2.00384567,-2.266127198,-1.938484124,-4.42348548,2172.117367,2209.774645,2279.533181,2364.334523,4.33,0.007766559,0.0039,0.0065,0.0069,0.002,0.0096,4.45,0.0025,6.11,-0.0072,5.49,5.43,0.0069,-0.0032,0.0012,-0.0299,-0.011,-0.0004,5.32,-0.025,IXIC,5.28,0.017,0.0011,0.0106,5.29,5.07,-0.0003,0.0167,0.0075,-0.0154,-0.0013,-0.0023,-0.0007,-0.0083,-0.0014,5.56,-0.0054,-0.0105,-0.0008,-0.0029,-0.0236,0.0024,0.0648,0.0021,-0.0122,-0.0028,0.0097,0.0021,0.0068,0.0167,-0.0042,0.0056,0.0123,-0.0028,-0.014,0.005,-0.95,-0.99,-0.96,0.04,0.01,1.04,1.78,0.82,0.79,0.83
2010-02-04,2125.43,-0.011597233,3,-0.007327941,0.007088262,-0.011539517,0.001396733,-2.387239886,-5.278380655,-5.040969324,-8.636705569,2167.941226,2211.760397,2283.150453,2366.077483,4.29,0.017383452,0.0198,0.0007,0.0002,0.0012,0.0119,4.42,0.0198,6.09,0.0102,5.5,5.42,0.0021,0.0083,-0.003,-0.0009,0.0136,0.001,5.31,0.0079,IXIC,5.28,-0.0081,-0.0028,0.0093,5.29,5.05,0.0097,-0.009,0.0021,0.0179,0.0079,0.0189,0.0062,0.0096,0.018,5.55,0.0075,0.014,0.0061,0.0194,0.0104,0.0001,-0.0026,0.0066,0.0084,0.0011,0.0149,0.0021,0.0185,0.0151,0.0088,0.0097,0.0116,0.0079,-0.0015,0.0195,-0.99,-1.02,-1,0.03,0.01,1.04,1.8,0.8,0.78,0.81
2010-02-05,2141.12,0.356837713,4,0.007088262,-0.011539517,0.001396733,-0.013566577,-1.942267796,-4.500831835,-5.825639853,-8.193516021,2177.388165,2220.847807,2289.588023,2368.496051,4.25,-0.00315067,0.0007,-0.0023,-0.0013,-0.0027,-0.0042,4.39,-0.002,6.06,-0.0017,5.51,5.42,-0.0036,0.0008,0.0003,0.0256,-0.0048,-0.0029,5.31,0.0129,IXIC,5.28,-0.0094,-0.0005,-0.0036,5.31,5,-0.0023,-0.0117,-0.0009,-0.0089,0.0026,-0.0068,0.0006,-0.0021,-0.0122,5.55,0.0003,-0.0078,0.0005,0.0005,-0.023,0.0025,0.0156,0.0001,0.0012,-0.0045,-0.0037,0.0028,-0.0036,0.001,-0.0119,-0.0039,-0.0042,0.0034,0.0025,-0.0002,-1.03,-1.06,-1.06,0.03,0.03,1.06,1.81,0.75,0.75,0.78
2010-02-08,2126.05,-0.084985964,0,-0.011539517,0.001396733,-0.013566577,-0.002802801,-3.980688197,-3.948153101,-6.784491339,-9.169557564,2185.447757,2229.240208,2295.647942,2370.781237,4.27,0.017983963,0.004,-0.001,-0.0062,0.0029,-0.0035,4.41,0.0157,6.06,0.0003,5.53,5.42,-0.0044,-0.0056,0.0012,-0.0131,-0.0013,0.0004,5.32,-0.0183,IXIC,5.28,0.0008,-0.0013,-0.0057,5.32,5.01,-0.0004,0.0015,-0.0039,0.0292,-0.0005,0.0293,0.0014,-0.0005,0.0065,5.56,-0.0039,0.0001,0.0014,0.013,0.0518,0.0034,0.0076,0.0014,-0.0057,-0.0018,0.0099,0.0004,0.0178,-0.0068,-0.0171,-0.0054,-0.0036,-0.011,0.0057,0.0041,-1.01,-1.05,-1.05,0.04,0.04,1.05,1.79,0.74,0.74,0.78
2010-02-09,2150.87,0.122256098,1,0.001396733,-0.013566577,-0.002802801,-0.01384705,-3.387698817,-3.802942887,-5.691723521,-8.820873694,2198.647259,2240.102335,2302.570307,2373.240848,4.29,-0.002399726,0.0027,0.0074,0.0023,-0.0064,0.0052,4.4,-0.0001,6.09,0.0044,5.51,5.4,0.002,0.0064,-0.0085,0.0352,0.0016,-0.0075,5.32,0.011,IXIC,5.28,0.009,-0.0051,0.0041,5.3,5.04,0.0022,0.007,-0.0058,-0.0125,-0.0046,0.008,-0.005,0.0025,0.0227,5.55,0.0244,0.0019,-0.005,0.0044,0.0012,-0.0083,-0.0198,-0.0032,0.0067,0.0084,-0.0037,-0.0028,-0.0025,0.0039,0.0066,0.0036,0.005,0.0106,0.0131,0.0025,-0.99,-1.03,-1.01,0.04,0.02,1.05,1.8,0.79,0.77,0.81
2010-02-10,2147.87,-0.013797481,2,-0.013566577,-0.002802801,-0.01384705,-0.005435051,-4.186090083,-3.864883494,-6.301067482,-9.313646842,2209.264428,2249.495212,2308.762157,2375.475731,4.26,0.00736733,0.0048,-0.0096,0.0001,-0.0009,0.0062,4.39,0.0081,6.05,0.0009,5.49,5.42,-0.0007,0.0012,0,0.0028,-0.0033,0.002,5.31,0.0132,IXIC,5.28,-0.0028,-0.003,0.0017,5.29,5,0.0023,-0.0017,,0.0146,0.0001,0.0141,0.0004,0.0022,-0.0006,5.55,-0.0121,-0.0023,0.0003,0.0008,0.0101,0.0035,-0.0074,0.0004,0.0014,-0.0018,-0.0113,0.0006,0.0074,0.0013,0.0035,0.0017,0.0062,0.001,0.0033,0.0049,-1.02,-1.05,-1.03,0.03,0.01,1.05,1.79,0.76,0.74,0.77
2010-02-11,2177.41,-0.140066363,3,-0.002802801,-0.01384705,-0.005435051,-0.006878677,-2.961847166,-2.71862965,-6.402304039,-8.035359807,2222.907634,2260.192603,2315.329183,2377.763226,4.27,-0.00776699,0.0021,-0.0145,-0.0009,-0.0005,0.0003,4.38,-0.0075,6.08,-0.0017,5.5,5.4,0.0015,-0.0034,0.0011,0.0184,-0.0097,0.0017,5.3,-0.0089,IXIC,5.28,-0.0112,0.0034,-0.0021,5.29,5.02,0.0014,-0.0102,-0.0134,-0.0049,0.0024,-0.0144,0.002,0.0016,-0.0079,5.53,-0.0063,-0.0099,0.0019,-0.0086,0.0275,-0.0024,-0.0164,0.0028,-0.0032,-0.0113,-0.0074,0.002,-0.0077,-0.0044,-0.0292,-0.0014,0,-0.0076,0.0128,0.0021,-1.01,-1.03,-1.02,0.02,0.01,1.06,1.81,0.79,0.78,0.8
2010-02-12,2183.53,0.243871498,4,-0.01384705,-0.005435051,-0.006878677,-0.000962623,-2.609242517,-3.960291524,-6.37506914,-7.564103107,2233.018219,2268.906561,2320.958538,2379.776826,4.3,0.009338252,-0.0018,0,-0.0043,0.0017,-0.0084,4.44,0.0062,6.09,-0.0032,5.52,5.44,-0.005,-0.0069,-0.0004,-0.0139,-0.0032,0.0016,5.31,-0.002,IXIC,5.28,-0.0155,-0.0004,-0.002,5.31,5.03,-0.0058,-0.0147,-0.0004,0.0086,0.0002,-0.0125,0.0006,-0.0057,-0.0018,5.55,-0.0162,-0.0033,0.0005,-0.0017,-0.0279,-0.0004,0.0148,0.0046,-0.007,0.0012,0.0081,0.0017,0.0098,-0.0079,-0.0358,-0.0019,-0.0085,-0.0087,-0.0166,-0.0016,-0.98,-1.01,-1.01,0.03,0.03,1.06,1.79,0.78,0.78,0.81
2010-02-16,2214.19,0.02237729,1,-0.005435051,-0.006878677,-0.000962623,0.000820685,0.033883909,-2.920040863,-5.403985167,-6.888953369,2244.015601,2277.893567,2326.567866,2381.749156,4.27,0.014265669,-0.0021,-0.0201,,0.0095,-0.0034,4.37,0.0117,6.11,-0.0093,5.51,5.42,-0.0064,-0.0039,0.0122,-0.0062,-0.0158,0.0044,5.32,0.0149,IXIC,5.27,-0.0178,0.0037,-0.0025,5.31,5.03,-0.0049,-0.0183,-0.0206,0.0001,0.0059,-0.0026,0.0055,-0.0056,-0.0119,5.55,0.0043,-0.021,0.0055,-0.011,-0.0246,0.0085,0.0088,0.0045,-0.0042,-0.0071,0,0.006,0.0101,-0.0007,0.0013,-0.0034,-0.0035,0.0005,0.0012,-0.002,-1,-1.05,-1.04,0.05,0.04,1.08,1.84,0.8,0.79,0.84
